,0,1,2,3,4
0,1,data/data_300MB.txt,32.917779207229614,32.82740000000001,4375.37620639801
1,1,data/data_2.5GB.txt,,,
2,1,data/data_16GB.txt,,,
3,2,data/data_300MB.txt,32.70103096961975,32.62513099999995,4375.474266052246
4,2,data/data_2.5GB.txt,,,
5,2,data/data_16GB.txt,,,
6,3-0,data/data_300MB.txt,33.71893286705017,33.612904999999955,5021.161524772644
7,3-0,data/data_2.5GB.txt,307.1549189090729,296.6599919999999,6635.572432518005
8,3-0,data/data_16GB.txt,2368.4038801193237,2004.3216850000008,11324.796133995056
9,3-1,data/data_300MB.txt,32.40458798408508,32.412092999999004,3228.587408065796
10,3-1,data/data_2.5GB.txt,280.1141848564148,279.689739999998,3917.1164407730103
11,3-1,data/data_16GB.txt,1817.1978750228882,1799.2975189999997,5885.65309047699
12,3-2,data/data_300MB.txt,32.71650409698486,32.71700799999962,1918.029423713684
13,3-2,data/data_2.5GB.txt,277.97047185897827,277.885199999997,2001.9624814987183
14,3-2,data/data_16GB.txt,1778.101676940918,1773.002720000004,3163.174624443054
15,4,data/data_300MB.txt,32.329447984695435,32.327440999993996,3228.588406562805
16,4,data/data_2.5GB.txt,276.86378383636475,276.7816440000024,3917.116467475891
